"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$32,471,939,543","2.98%","4.97","0.50","-13.92","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$32,349,126,447","5.02%","5.22","0.24","1.23","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$31,950,244,206","6.56%","14.40","6.18","9.85","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$31,842,676,584","1.77%","18.89","2.04","3.57","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$31,724,753,130","0.77%","40.50","9.23","9.63","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$31,723,250,783","2.76%","23.37","3.72","2.81","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$31,525,260,318","0.00%","21.75","2.91","2.80","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$31,402,928,322","0.89%","31.14","3.61","1.25","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$31,350,401,815","0.00%","32.47","9.93","7.29","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$31,193,694,572","3.32%","-23.75","3.41","2.27","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$31,059,033,287","0.13%","42.95","4.68","-44.92","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$31,054,113,751","0.00%","42.28","9.48","48.54","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$30,986,271,201","1.55%","11.53","1.51","4.32","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$30,628,234,625","1.26%","40.66","3.88","4.67","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,552,238,933","0.37%","26.92","5.43","8.72","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$30,551,521,742","1.92%","20.99","2.11","5.07","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$30,276,786,433","4.50%","30.83","19.51","1.97","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$29,899,272,000","0.00%","42.71","6.42","2.74","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$29,789,966,160","2.22%","5.95","0.58","1.27","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$29,617,274,336","2.70%","53.64","2.39","1.42","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$29,601,459,546","1.28%","17.15","0.13","53.81","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$29,193,768,000","1.27%","90.74","1.42","1.77","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$29,172,815,463","1.46%","23.30","2.04","-5.79","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$29,068,104,616","2.32%","29.54","4.62","9.25","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$28,984,649,295","0.00%","33.31","5.78","-10.20","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$28,873,197,546","2.96%","22.16","2.75","1.94","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$28,689,461,578","1.76%","3.64","0.72","1.91","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$28,471,755,141","2.95%","16.78","4.79","1.58","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$28,355,668,261","5.22%","4.81","0.56","2.22","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,081,290,257","0.67%","27.40","9.21","10.34","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$27,956,027,052","2.10%","5.60","2.29","2.09","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$27,913,022,275","2.28%","18.09","1.75","1.08","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$27,823,918,928","0.00%","168.05","18.29","84.06","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$27,801,761,520","0.00%","34.12","7.29","320.07","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$27,766,639,407","2.95%","14.59","1.14","3.36","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$27,567,802,672","1.69%","13.83","1.14","2.27","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$27,407,675,560","3.11%","25.19","1.89","2.21","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$27,293,889,457","1.63%","20.89","7.03","3.61","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$26,966,308,597","2.05%","25.40","1.57","4.41","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$26,799,959,670","0.00%","24.76","7.96","6.16","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$26,773,113,525","3.41%","19.96","10.63","2.48","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$26,642,362,583","3.30%","23.80","11.30","2.44","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$26,482,012,483","1.12%","16.64","1.64","3.68","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$26,104,509,515","1.59%","22.96","1.38","6.43","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$26,101,457,441","2.13%","28.35","2.18","3.69","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$25,884,283,860","0.62%","18.83","4.96","1.66","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$25,845,757,307","0.75%","24.40","4.46","3.67","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$25,819,190,640","1.96%","9.55","2.39","2.52","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$25,793,256,491","1.19%","5.20","0.85","1.56","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$25,707,247,609","3.98%","9.04","3.34","2.86","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$25,464,146,290","0.00%","24.80","4.95","6.71","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$25,431,898,523","1.99%","8.26","1.84","5.08","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$24,930,806,452","0.00%","116.17","4.76","4.40","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$24,912,242,209","6.56%","16.34","1.33","4.10","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$24,756,418,360","0.00%","12.75","0.85","2.95","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$24,611,956,140","0.00%","13.76","6.18","5.61","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$24,583,609,139","3.17%","15.99","1.72","6.50","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$24,411,776,865","1.37%","20.69","1.80","11.64","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$24,411,134,916","2.73%","26.86","1.51","2.74","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$24,041,290,231","0.00%","14.16","4.28","1.52","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$23,978,038,642","1.86%","2.06","2.34","3.40","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$23,799,761,625","4.35%","40.61","1.50","1.51","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$23,709,165,247","0.00%","75.89","1.50","2.90","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$23,416,872,543","3.17%","58.00","10.41","1.38","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$23,403,450,435","0.22%","32.12","8.12","9.45","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$23,401,458,115","0.78%","81.50","6.45","3.94","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$23,349,973,317","2.19%","35.79","3.19","8.77","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$23,205,748,723","0.82%","29.96","4.57","5.97","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$23,101,507,458","3.16%","27.08","13.90","6.99","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$23,094,817,121","1.08%","28.34","4.40","6.76","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$23,018,123,667","3.60%","8.59","2.03","0.87","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$22,933,219,372","3.54%","9.35","3.25","1.14","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$22,854,997,874","0.00%","15.76","3.17","4.57","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$22,756,723,135","1.41%","21.92","1.76","12.28","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$22,703,274,408","2.57%","22.40","3.39","2.30","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$22,529,805,840","3.55%","21.29","1.91","1.92","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$22,491,801,000","0.30%","10.59","1.42","2.07","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$22,400,681,116","1.74%","5.08","0.80","0.97","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$22,212,916,738","1.62%","5.07","2.43","1.99","Analyze"
"DRE","Duke Realty Corporation","REITs","Large cap","Real Estate","$22,029,278,777","1.90%","21.42","20.12","3.51","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$21,959,963,889","1.75%","27.53","3.45","4.48","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$21,879,955,512","1.17%","19.25","1.52","5.55","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$21,838,585,612","0.00%","39.13","1.18","2.19","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$21,649,339,945","0.93%","53.77","2.83","1.80","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$21,428,002,035","1.19%","21.30","0.98","23.99","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$21,409,087,022","2.30%","8.39","0.99","1.34","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$21,364,285,169","4.11%","17.28","1.87","2.44","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$21,265,198,146","2.00%","12.94","4.55","1.81","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$21,255,165,921","0.00%","46.90","10.80","4.87","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$21,078,754,180","0.00%","29.19","7.35","54.85","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$20,925,733,682","0.82%","85.33","4.56","3.18","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$20,304,531,756","3.50%","141.62","5.16","1.92","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$20,303,382,060","1.95%","7.41","2.53","1.59","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$20,097,511,203","4.52%","31.67","3.31","1.45","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$20,048,612,033","0.00%","70.59","6.44","-163.73","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$19,890,273,916","0.50%","30.45","3.70","2.05","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$19,860,312,072","0.00%","19.82","2.30","12.73","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$19,855,034,527","0.00%","38.65","4.22","4.05","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$19,819,004,014","2.92%","13.14","3.11","1.74","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$19,681,327,160","0.00%","23.88","4.02","162.06","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$19,679,237,903","1.04%","32.67","3.27","3.00","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$19,660,407,866","0.00%","27.85","4.88","5.36","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$19,556,568,159","0.78%","29.70","3.45","3.04","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$19,549,664,390","0.47%","-31.23","0.93","1.76","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$19,548,819,352","2.48%","32.99","10.69","3.31","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$19,484,913,683","2.46%","20.92","0.99","5.39","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$19,428,378,622","1.97%","18.30","3.82","3.14","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$19,277,664,440","0.00%","80.10","16.96","17.72","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$19,262,356,929","0.00%","24.13","14.26","-14.87","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$19,223,954,365","2.67%","19.14","2.50","1.95","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$18,934,860,458","3.75%","19.67","1.34","4.15","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$18,883,433,887","2.22%","9.20","2.19","1.56","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$18,847,436,530","0.21%","38.17","1.32","3.57","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$18,777,129,601","0.00%","38.63","0.54","6.66","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$18,744,569,640","0.00%","-41.74","2.41","-36.15","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$18,729,953,914","1.42%","12.41","1.79","2.17","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$18,587,622,680","2.27%","11.77","2.17","1.86","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$18,239,807,711","0.19%","23.96","3.63","2.43","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$18,174,444,950","0.69%","65.81","13.65","13.71","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$18,165,654,600","1.02%","53.49","7.33","15.96","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$18,124,910,320","0.00%","37.67","4.37","6.82","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$18,010,672,505","1.50%","10.80","2.15","4.45","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$17,935,146,395","4.25%","8.87","2.70","0.81","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,933,045,691","0.00%","19.22","5.76","4.64","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$17,854,897,539","0.00%","11.60","1.75","2.95","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$17,842,212,759","0.53%","12.65","1.74","2.55","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$17,826,048,090","0.00%","30.73","3.48","2.25","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$17,810,787,163","0.00%","11.48","3.30","3.72","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$17,802,218,656","3.53%","7.67","3.06","1.04","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$17,687,456,559","4.92%","16.32","2.82","0.96","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$17,674,983,139","1.58%","6.44","1.28","0.66","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$17,674,983,139","1.45%","8.90","1.28","0.92","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$17,491,348,234","1.64%","15.58","2.16","4.02","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$17,452,743,007","3.24%","38.67","2.46","44.28","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$17,372,813,973","4.39%","12.59","1.50","4.81","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,313,230,818","1.72%","31.06","3.14","9.40","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$17,190,765,916","0.85%","20.05","1.32","5.28","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$17,157,105,433","3.23%","43.86","11.69","2.90","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$17,064,364,068","3.47%","16.45","1.50","1.95","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$17,036,876,686","0.14%","13.91","3.18","1.88","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$16,969,255,742","4.53%","4.59","0.61","0.84","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,837,582,004","0.67%","27.42","5.37","3.84","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$16,787,613,000","0.00%","24.31","0.58","6.00","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$16,727,695,827","3.80%","10.66","1.18","1.41","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$16,613,581,115","0.00%","18.72","5.51","5.63","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$16,420,422,914","2.88%","11.97","1.03","1.73","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$16,327,485,530","1.28%","11.07","0.91","4.25","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$16,260,739,575","0.92%","6.12","1.16","1.40","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$16,245,413,136","0.02%","15.62","5.36","2.12","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$16,234,317,829","4.36%","6.88","2.33","1.05","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$16,205,749,495","0.70%","42.96","1.13","2.65","Analyze"
"STX","Seagate Technology Plc","Common stocks","Large cap","Information Technology","$15,969,352,216","3.68%","12.02","1.37","38.16","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$15,958,122,857","1.88%","8.39","1.49","2.47","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$15,807,213,037","3.95%","3.62","0.55","0.65","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$15,741,523,333","4.46%","9.22","0.00","5.25","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$15,651,676,986","4.37%","8.99","0.81","1.78","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,586,363,145","2.38%","21.44","4.11","1.73","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$15,504,025,021","0.00%","-123.07","5.35","1.22","Analyze"
"SEDG","SolarEdge Technologies Inc","Common stocks","Large cap","Information Technology","$15,490,161,996","0.00%","85.35","7.00","7.31","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$15,355,571,706","2.33%","11.34","3.03","2.99","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$15,339,597,607","0.83%","35.62","9.20","12.28","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$15,318,283,336","0.00%","18.86","2.68","5.28","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$15,087,969,114","1.21%","6.79","2.44","1.29","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$15,065,749,231","1.40%","12.85","2.61","2.51","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$15,035,555,042","0.65%","25.25","1.90","1.49","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$14,919,292,038","2.93%","3.74","0.95","1.11","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,906,908,809","3.47%","18.39","2.87","1.61","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$14,870,544,885","0.91%","20.34","2.63","12.66","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,730,890,176","0.00%","29.45","3.91","3.61","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$14,650,055,524","3.73%","15.96","1.76","4.38","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$14,526,494,759","2.84%","21.36","3.79","2.39","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,520,444,382","0.00%","23.61","4.12","3.38","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$14,435,925,912","3.66%","-15.18","0.08","-20.79","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$14,429,304,738","2.94%","25.04","1.83","1.75","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$14,408,659,349","0.47%","14.70","3.92","5.81","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$14,399,332,210","3.85%","13.90","1.55","6.32","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$14,384,525,138","0.00%","10.15","1.55","5.27","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$14,318,902,866","1.02%","29.18","3.27","-3.36","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$14,261,961,208","0.43%","8.58","1.05","0.86","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$14,244,663,306","3.07%","14.08","2.30","16.15","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$14,243,333,833","0.35%","61.36","13.23","8.07","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$14,225,410,439","2.87%","-96.38","1.25","4.62","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Large cap","Industrials","$14,223,227,981","0.00%","27.16","3.50","6.07","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$14,220,840,123","1.49%","12.95","1.07","2.46","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$14,209,741,478","0.00%","33.80","4.05","3.71","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$14,184,957,552","4.50%","33.21","7.31","2.22","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$14,178,401,384","3.30%","91.29","10.53","4.21","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$14,158,324,472","1.19%","29.06","4.94","4.78","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$14,144,903,804","2.64%","39.97","11.91","3.35","Analyze"
"KMX","Carmax Inc","Common stocks","Large cap","Consumer Discretionary","$14,140,306,729","0.00%","12.61","0.44","2.77","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$14,135,479,467","0.00%","81.75","8.06","5.63","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$14,081,449,151","1.48%","32.77","2.70","4.32","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$14,036,181,603","0.00%","7.92","0.73","1.20","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$13,961,481,901","5.05%","30.99","3.00","18.28","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$13,830,203,913","1.42%","36.47","0.00","3.45","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$13,817,520,390","0.00%","64.27","1.44","6.65","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$13,766,090,092","0.24%","45.48","2.71","4.04","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$13,676,272,647","4.43%","25.18","4.67","2.36","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$13,600,826,532","1.01%","37.85","7.12","10.24","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$13,380,714,333","1.70%","18.62","1.54","7.02","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$13,271,865,876","2.17%","20.93","4.75","-142.71","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$13,197,751,679","4.30%","10.64","0.92","4.40","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$13,177,026,343","1.97%","17.13","2.53","4.26","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$12,975,976,515","0.13%","17.56","1.04","1.92","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$12,914,832,537","3.05%","14.04","1.60","3.42","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$12,878,549,770","1.57%","25.58","3.72","3.59","Analyze"
"CTXS","Citrix Systems Inc","Common stocks","Large cap","Information Technology","$12,752,927,545","0.73%","45.93","3.90","19.19","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$12,459,356,770","2.19%","13.24","0.50","5.95","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$12,436,420,592","1.94%","22.70","1.45","-33.58","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$12,321,076,182","0.00%","25.67","6.56","5.91","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$12,248,895,053","3.64%","13.61","8.11","1.25","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$12,184,112,807","4.52%","73.88","0.69","0.61","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$12,166,085,588","2.54%","10.73","0.92","0.85","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$12,099,884,184","0.04%","8.04","1.11","2.43","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$12,041,785,392","2.43%","5.84","1.30","2.63","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$11,957,150,523","0.00%","53.03","11.59","7.95","Analyze"
